Date,Stock_01,Stock_02,Stock_03,Stock_04,Stock_05,Stock_06,Stock_07,Stock_08,Stock_09,Stock_10,Stock_11,Stock_12,Stock_13,Stock_14,Stock_15,Comm_01,Comm_02,Comm_03,Comm_04,Comm_05,Comm_06,Idx_01,Idx_02,Idx_03,FX_01,FX_02,FX_03,FX_04,FX_05,FX_06,Idx_04
1990-01-02,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1990-01-03,101.852534826987,102.3674743231579,103.4674214846427,101.41463314504423,99.46203043335753,100.830787237887,100.69286118547322,102.79357526794168,103.43349383871738,101.1560947501234,101.11642456193404,103.10460521934222,99.26027384955192,101.66664049876027,103.08440261663246,100.4984097983179,101.18626958314807,103.7619280401415,100.36805264759576,100.21114197348004,101.20263060639564,95.08631871246622,100.81402918089508,101.6654258876834,99.55320680494437,99.63419928976693,99.98650226932924,100.35359643784332,99.90522339796544,100.08135597779513,102.56437334777924
1990-01-04,99.3194470541284,104.7016276485586,104.71567459654617,100.73452746642366,99.17721086521544,99.81349238846428,101.45168004664932,100.9602855113804,105.15022936250276,100.57803869567168,100.08754361178391,102.77777903627788,99.05852884173449,104.50979660994771,101.46101742343924,97.94030856601468,100.64293899049191,103.42604197407276,99.72396270807002,96.4105864508392,101.74927784887548,95.61753092328,100.22892693087157,100.5988478162482,100.18203270223448,100.08813816634785,99.90170030912206,99.81372632097928,99.99541994420228,99.9062760723116,104.200466553641
1990-01-05,94.2154901866394,107.36919018021727,105.82523361728346,96.81719384630284,95.82278128555647,96.47338223171386,99.96701492560584,95.9406547889797,103.43349383871738,96.53179386413994,95.44655405449282,100.49016565234076,98.45327718363436,96.66666666666669,98.62011074632414,92.13355265991125,96.20573915046673,98.26682666903385,99.66874998464364,93.40587732576218,100.03644537381196,115.4493127381336,95.7008315764448,96.50076694666232,102.40222934331916,98.512562315617,97.22485410018405,98.69284872389431,101.06367729569727,96.20157973840448,103.7654342030826
1990-01-08,89.04536553778209,103.36784140201212,101.6644045908908,97.44286896507198,92.8480973595114,93.8114577002969,97.72355588955706,94.58752291309696,98.71246734978315,94.7976777771249,93.76092439820148,101.14380669196856,96.77205492294917,94.31370740355491,95.69803411311044,89.01098938857639,95.28207051049776,95.64691945386944,101.4906119065027,92.70748941018024,97.63119528258734,115.58211790166996,94.6324080349263,96.33237990477552,102.51392928598636,98.3032163075362,96.56036104492698,98.22706181132791,100.69642068496684,95.8925455225666,99.27257565875146
1990-01-09,89.70698123667444,101.20044248691192,99.02912877902077,96.4908297884024,92.49999648850324,93.54020150272834,96.75025608803504,94.15103591549487,98.28324928211688,95.88150792597555,95.24952758732329,97.15686705361014,97.24279050208192,93.38237198987302,95.5356872365241,90.54224571662616,96.50456434397408,96.58739633869018,99.39271269271364,94.51030868951877,97.8498564038926,117.35281119882984,93.69119191531324,94.42368794251024,102.63390135015094,98.3032163075362,96.38104289777488,98.04464850494016,100.62704782566254,95.78045364577932,97.15484732574716
1990-01-10,91.33269613909988,102.03405515546562,101.38696607729383,97.8781467749652,91.39240431026728,94.99829075034172,94.72122186344778,96.9882518165363,96.13734887000736,97.76012717736604,95.44655405449282,97.54903582028558,97.91528772367988,96.07845138330096,96.59090363019484,92.66198203910496,97.50067043051035,99.08638949027588,97.35001742728365,96.91408063636112,100.3279861211746,115.09517407870165,96.7438013436698,97.3989637401267,101.00391860521772,98.90700267608824,97.8778299188219,98.9594541039356,99.95292647530692,97.92392616238438,96.96450351603868
1990-01-11,94.17769333616992,100.3668098954896,103.05131404551192,96.3003359869949,92.53163300876362,94.96438475135956,97.16266618437402,94.6311635461967,95.70816878758544,95.95375516846826,91.28717959659622,98.6927972062506,97.10828274043844,94.362739518118,93.9123159721093,91.88734857349152,97.41917968488328,100.12091406357872,97.38682005952305,96.99529087492296,99.81778425250673,112.43912991129604,96.48944112169212,96.7814523638857,100.50333689358956,99.08549822441732,97.84948343018227,98.75257750489824,99.24963566085098,98.58926209517462,96.74329103579792
1990-01-12,89.98107051736962,100.86700339635102,101.10957160355348,97.27964746190432,91.93038213925507,96.54117781825563,92.477762827399,94.89306784474864,99.1416778204006,97.10983255981162,90.84935021804732,100.16339610178083,97.10828274043844,86.37253939905403,93.4253240930746,92.77007429187692,98.65978011647914,99.5969326205458,100.62568862340606,100.01624049878546,98.65161014148968,100.61974054317304,97.78680524954054,96.83760443351196,99.71040999146024,99.10753066447433,97.0291908237046,97.90294458268174,97.61942743710408,99.39536972414662,98.2174480584842
1990-01-15,93.00567263330998,100.86700339635102,100.13870667398233,99.10228611860197,92.40506214068608,99.20311876109514,93.41804637181332,99.65081443524856,94.84980102569276,98.69942812367124,92.22851693496244,99.01961206281406,96.7048010421274,86.27449479585762,94.64283861260732,96.97952162921682,101.35832648164038,103.46634666193232,97.7180700748794,104.54766493457916,100.8017537375971,98.49490858658122,100.30527459829398,98.98955094252707,99.02642785003682,99.4314688979871,98.28982251269906,98.85182588777872,97.8894320412052,100.4090231837542,95.81252308555068
